"MUNIC_RES","ANO","POPULACAO"
"1508100","2021",116605
"1508126","2021",62286
"1508159","2021",45395
"1508209","2021",54650
"1508308","2021",62093
"1508357","2021",15421
"1508407","2021",45416
"1600055","2021",5577
"1600105","2021",9265
"1600154","2021",17625
"1600204","2021",11493
"1600212","2021",6217
"1600238","2021",8151
"1600253","2021",5730
"1600279","2021",52302
"1600303","2021",522357
"1600402","2021",22468
"1600501","2021",28534
"1600535","2021",22927
"1600550","2021",5370
"1600600","2021",124808
"1600709","2021",18217
"1600808","2021",16572
"1700251","2021",2609
"1700301","2021",7049
"1700350","2021",5303
"1700400","2021",6905
"1700707","2021",8381
"1701002","2021",9435
"1701051","2021",3475
"1701101","2021",4901
"1701309","2021",5705
"1701903","2021",7223
"1702000","2021",8418
"1702109","2021",186245
"1702158","2021",5856
"1702208","2021",36573
"1702307","2021",6590
"1702406","2021",10502
"1702554","2021",18870
"1702703","2021",3809
"1702901","2021",9817
"1703008","2021",10668
"1703057","2021",3631
"1703073","2021",4673
"1703107","2021",5669
"1703206","2021",4439
"1703305","2021",5120
"1703602","2021",2221
"1703701","2021",5540
"1703800","2021",11644
"1703826","2021",2293
"1703842","2021",10505
"1703867","2021",4499
"1703883","2021",2627
"1703891","2021",4165
"1703909","2021",5514
"1704105","2021",2966
"1704600","2021",1415
"1705102","2021",3330
"1705508","2021",36271
"1705557","2021",4870
"1705607","2021",4070
"1706001","2021",5690
"1706100","2021",7268
"1706258","2021",1749
"1706506","2021",6250
"1707009","2021",22704
"1707108","2021",6986
"1707207","2021",7173
"1707306","2021",4686
"1707405","2021",11280
"1707553","2021",3824
"1707652","2021",5222
"1707702","2021",8892
"1708205","2021",18358
"1708254","2021",2615
"1708304","2021",5136
"1709005","2021",13169
"1709302","2021",26403
"1709500","2021",88428
"1709807","2021",2088
"1710508","2021",7471
"1710706","2021",5801
"1710904","2021",3814
"1711100","2021",2412
"1711506","2021",3906
"1711803","2021",2174
"1711902","2021",13989
